                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.68035,                 1.8075,                 1.3757,                0.84263,                0.79356,                0.90135,                0.83845,                0.44352,                0.93601,                 1.1725,             2.7381e-05,             2.7381e-05,             2.7381e-05
                     68,                0.70659,                  1.857,                 1.3545,                0.75653,                0.85885,                0.91387,                0.83877,                0.45588,                0.95038,                 1.1754,             2.6599e-05,             2.6599e-05,             2.6599e-05
                     69,                 0.6534,                 1.7577,                 1.3054,                0.85979,                 0.8351,                 0.9155,                0.85004,                0.44319,                0.89812,                 1.1637,             2.5817e-05,             2.5817e-05,             2.5817e-05
                     70,                0.69144,                 1.7991,                 1.3713,                0.80684,                0.85484,                0.92263,                0.86165,                0.42977,                0.88625,                 1.1636,             2.5035e-05,             2.5035e-05,             2.5035e-05
                     71,                0.67758,                 1.7725,                 1.3536,                0.79715,                0.85261,                0.90779,                0.84477,                0.44067,                0.90633,                 1.1634,             2.4253e-05,             2.4253e-05,             2.4253e-05
                     72,                0.67667,                 1.7472,                 1.3447,                0.81695,                0.84646,                0.91824,                0.85791,                0.42444,                  0.874,                 1.1522,             2.3471e-05,             2.3471e-05,             2.3471e-05
                     73,                0.63346,                 1.7385,                  1.304,                0.81748,                0.83126,                 0.9119,                0.85279,                0.42205,                0.88067,                 1.1561,             2.2689e-05,             2.2689e-05,             2.2689e-05
                     74,                0.63951,                 1.7447,                 1.3242,                0.77684,                0.88065,                0.91572,                0.86169,                0.41293,                  0.881,                 1.1393,             2.1907e-05,             2.1907e-05,             2.1907e-05
                     75,                 0.6708,                 1.7109,                 1.3429,                0.82403,                0.85989,                0.91395,                0.85411,                0.42954,                0.85012,                 1.1311,             2.1125e-05,             2.1125e-05,             2.1125e-05
                     76,                 0.6311,                 1.7017,                 1.2941,                0.87177,                0.82257,                0.90896,                0.84885,                0.42737,                0.86004,                 1.1203,             2.0343e-05,             2.0343e-05,             2.0343e-05
                     77,                0.65958,                 1.7212,                 1.3325,                0.85906,                0.83922,                 0.9097,                0.85695,                0.40058,                0.83692,                 1.1205,              1.956e-05,              1.956e-05,              1.956e-05
                     78,                0.64989,                 1.6667,                 1.3247,                0.83925,                0.86544,                0.91907,                0.86368,                0.41671,                0.82507,                 1.1321,             1.8778e-05,             1.8778e-05,             1.8778e-05
                     79,                0.65597,                 1.7304,                 1.3152,                 0.8813,                0.84167,                0.91691,                0.85753,                0.42101,                0.81128,                 1.1162,             1.7996e-05,             1.7996e-05,             1.7996e-05
                     80,                0.64305,                 1.6622,                 1.2941,                0.86231,                0.86586,                0.92342,                0.86833,                0.40385,                0.80305,                 1.1092,             1.7214e-05,             1.7214e-05,             1.7214e-05
                     81,                0.65565,                 1.6631,                 1.3017,                0.84141,                0.86238,                0.92698,                 0.8765,                0.39035,                0.80505,                 1.1053,             1.6432e-05,             1.6432e-05,             1.6432e-05
                     82,                0.64384,                 1.6846,                  1.298,                0.79724,                 0.8855,                0.92482,                0.86744,                0.41752,                 0.8118,                 1.1233,              1.565e-05,              1.565e-05,              1.565e-05
                     83,                0.64834,                 1.6236,                 1.3271,                0.87234,                0.86667,                0.92194,                0.87159,                0.38561,                 0.7908,                 1.1067,             1.4868e-05,             1.4868e-05,             1.4868e-05
                     84,                0.65406,                 1.6682,                 1.2715,                0.84238,                0.88746,                0.92525,                 0.8643,                0.41453,                 0.8047,                 1.0958,             1.4086e-05,             1.4086e-05,             1.4086e-05
                     85,                0.62948,                 1.6293,                 1.2794,                0.86985,                0.87244,                0.92639,                0.87691,                 0.3914,                0.78369,                 1.0992,             1.3304e-05,             1.3304e-05,             1.3304e-05
                     86,                0.61364,                 1.5795,                 1.2699,                 0.8742,                0.86309,                0.93074,                0.87764,                0.38784,                0.77912,                 1.1051,             1.2522e-05,             1.2522e-05,             1.2522e-05
                     87,                0.62313,                 1.6182,                 1.2614,                0.87665,                0.86307,                0.93059,                0.88474,                0.38191,                0.75829,                 1.0899,             1.1739e-05,             1.1739e-05,             1.1739e-05
                     88,                0.62307,                 1.5867,                 1.2768,                0.86925,                 0.8633,                0.93327,                0.88619,                0.38146,                0.75737,                 1.0901,             1.0957e-05,             1.0957e-05,             1.0957e-05
                     89,                0.61856,                 1.5885,                 1.2854,                0.90684,                0.84976,                0.93087,                0.88247,                0.37665,                0.74494,                 1.0956,             1.0175e-05,             1.0175e-05,             1.0175e-05
                     90,                0.55394,                   1.68,                 1.2764,                0.89047,                0.85539,                0.93607,                0.87577,                0.41313,                 0.7911,                 1.1075,             9.3931e-06,             9.3931e-06,             9.3931e-06
                     91,                0.52201,                 1.6434,                 1.2292,                0.88937,                0.83603,                0.93482,                0.87608,                 0.4031,                0.77309,                 1.0792,              8.611e-06,              8.611e-06,              8.611e-06
                     92,                0.50227,                 1.5789,                 1.1981,                0.88237,                0.86193,                0.93265,                0.87839,                0.40275,                0.75931,                 1.0765,             7.8289e-06,             7.8289e-06,             7.8289e-06
                     93,                0.52079,                 1.5935,                 1.2138,                0.88854,                0.86702,                0.93781,                0.88001,                0.40331,                0.73412,                 1.0732,             7.0468e-06,             7.0468e-06,             7.0468e-06
                     94,                0.52189,                 1.5707,                 1.2421,                0.86208,                0.88015,                0.93458,                0.88005,                0.39852,                0.72216,                  1.071,             6.2647e-06,             6.2647e-06,             6.2647e-06
                     95,                0.50702,                 1.5844,                 1.2208,                0.87059,                 0.8773,                0.93229,                 0.8817,                0.38876,                0.73603,                 1.0607,             5.4826e-06,             5.4826e-06,             5.4826e-06
                     96,                0.51345,                 1.5365,                 1.2155,                0.85134,                 0.8871,                0.93807,                0.88198,                 0.3929,                0.71669,                 1.0652,             4.7005e-06,             4.7005e-06,             4.7005e-06
                     97,                0.50456,                 1.5212,                 1.2091,                0.86888,                0.88274,                 0.9426,                0.88552,                0.39327,                0.71375,                  1.068,             3.9184e-06,             3.9184e-06,             3.9184e-06
                     98,                 0.4983,                 1.4843,                 1.1964,                0.87888,                0.88212,                0.94075,                0.88733,                0.38788,                0.70919,                  1.066,             3.1363e-06,             3.1363e-06,             3.1363e-06
                     99,                0.50915,                 1.5327,                 1.1919,                0.86707,                0.87942,                 0.9397,                0.88768,                0.39273,                  0.712,                 1.0661,             2.3542e-06,             2.3542e-06,             2.3542e-06
